29.719204, -95.407239
29.718161, -95.406773
29.716810, -95.405990
29.717518, -95.408458
29.716111, -95.407739
29.714834, -95.408511
29.718543, -95.408987
29.714126, -95.408871
29.713436, -95.406521
29.713827, -95.406382
29.714646, -95.406021
29.714888, -95.406003
29.716444, -95.406740
29.717465, -95.412664
29.715116, -95.412680
29.711507, -95.400962
29.716366, -95.402021
29.718014, -95.402897
29.718921, -95.403363
29.719732, -95.403760
29.720364, -95.404061
29.714298, -95.400939
29.714484, -95.398954
29.720005, -95.403095
29.721291, -95.401765
29.720667, -95.401432
29.720835, -95.401003
29.722251, -95.399308
29.721645, -95.399008
29.721561, -95.399190
29.720592, -95.398696
29.720555, -95.398342
29.719949, -95.397988
29.719828, -95.398042
29.719045, -95.400284
29.717200, -95.400016
29.717768, -95.398407
29.719548, -95.397763
29.719250, -95.397634
29.719017, -95.397484
29.718709, -95.397312
29.717190, -95.398084
29.716018, -95.397470
29.719093, -95.396515
29.719363, -95.396633
29.719875, -95.396912
29.719573, -95.396772
29.720947, -95.396575
29.718565, -95.395485
29.720568, -95.393997


